Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
C8IN 96xlarge,c8in.96xlarge,,Compute optimized,,768 GiB,384 vCPUs,EBS only,600 Gigabit,$26.1274 hourly,,$7.6562 hourly,$43.7914 hourly,
C8IN Large,c8in.large,,Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1361 hourly,,$0.0322 hourly,$0.2281 hourly,
C8IN Metal-48xl,c8in.metal-48xl,,Compute optimized,,384 GiB,192 vCPUs,EBS only,300 Gigabit,$13.0637 hourly,,$3.3145 hourly,$21.8957 hourly,
C8IN Metal-96xl,c8in.metal-96xl,,Compute optimized,,768 GiB,384 vCPUs,EBS only,600 Gigabit,$26.1274 hourly,,$6.9669 hourly,$43.7914 hourly,
C8IN Extra Large,c8in.xlarge,,Compute optimized,,8 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2722 hourly,,$0.0597 hourly,$0.4562 hourly,
C8INE 12xlarge Extra Large,c8ine.12xlarge,"1,178,203.24",Compute optimized,109.0 fps,96 GiB,48 vCPUs,EBS only,75 Gigabit,$4.0824 hourly,,,$6.2904 hourly,
C8INE Double Extra Large,c8ine.2xlarge,"198,626.169",Compute optimized,74.0 fps,16 GiB,8 vCPUs,EBS only,12.5 Gigabit,$0.6804 hourly,,,$1.0484 hourly,
C8INE Quadruple Extra Large,c8ine.4xlarge,"391,453.27",Compute optimized,134.0 fps,32 GiB,16 vCPUs,EBS only,25 Gigabit,$1.3608 hourly,,,$2.0968 hourly,
C8INE Eight Extra Large,c8ine.8xlarge,"796,812.749",Compute optimized,231.0 fps,64 GiB,32 vCPUs,EBS only,50 Gigabit,$2.7216 hourly,,,$4.1936 hourly,
C8INE Large,c8ine.large,"47,630.388",Compute optimized,,4 GiB,2 vCPUs,EBS only,3.125 Gigabit,$0.1701 hourly,,,$0.2621 hourly,
C8INE Extra Large,c8ine.xlarge,"92,823.577",Compute optimized,40.0 fps,8 GiB,4 vCPUs,EBS only,6.25 Gigabit,$0.3402 hourly,,,$0.5242 hourly,
Cluster Compute Eight Extra Large,cc2.8xlarge,,Compute optimized,,60.5 GiB,32 vCPUs,EBS only,10 Gigabit,,,,$2.00 hourly,
High Memory Cluster Eight Extra Large,cr1.8xlarge,,Memory optimized,,244 GiB,32 vCPUs,EBS only,10 Gigabit,$3.50 hourly,,,$3.831 hourly,
D2 Double Extra Large,d2.2xlarge,"116,510.51",Storage optimized,44.0 fps,61 GiB,8 vCPUs,12288 GB (6×2048 GB HDD),High,$1.38 hourly,$0.804 hourly,$0.266 hourly,$1.601 hourly,$0.885 hourly
D2 Quadruple Extra Large,d2.4xlarge,"232,998.398",Storage optimized,82.0 fps,122 GiB,16 vCPUs,24576 GB (12×2048 GB HDD),High,$2.76 hourly,$1.608 hourly,$0.4182 hourly,$3.062 hourly,$1.69 hourly
D2 Eight Extra Large,d2.8xlarge,"543,204.909",Storage optimized,141.0 fps,244 GiB,36 vCPUs,49152 GB (24×2048 GB HDD),10 Gigabit,$5.52 hourly,$3.216 hourly,$0.816 hourly,$6.198 hourly,$3.30 hourly
D2 Extra Large,d2.xlarge,"58,190.282",Storage optimized,23.0 fps,30.5 GiB,4 vCPUs,6144 GB (3×2048 GB HDD),Moderate,$0.69 hourly,$0.402 hourly,$0.1094 hourly,$0.821 hourly,$0.472 hourly
D3 Double Extra Large,d3.2xlarge,"118,606.375",Storage optimized,46.0 fps,64 GiB,8 vCPUs,11880 GB (6×1980 GB NVMe HDD),Up to 15 Gigabit,$0.999 hourly,$0.629 hourly,$0.2947 hourly,$1.367 hourly,$0.997 hourly
D3 Quadruple Extra Large,d3.4xlarge,"227,563.647",Storage optimized,78.0 fps,128 GiB,16 vCPUs,23760 GB (12×1980 GB NVMe HDD),Up to 15 Gigabit,$1.998 hourly,$1.259 hourly,$0.3577 hourly,$2.734 hourly,$1.995 hourly
D3 Eight Extra Large,d3.8xlarge,"468,087.181",Storage optimized,134.0 fps,256 GiB,32 vCPUs,47520 GB (24×1980 GB NVMe HDD),25 Gigabit,$3.9955 hourly,$2.5172 hourly,$0.8674 hourly,$5.4675 hourly,$3.9892 hourly
D3 Extra Large,d3.xlarge,"55,891.942",Storage optimized,24.0 fps,32 GiB,4 vCPUs,5940 GB (3×1980 GB NVMe HDD),Up to 15 Gigabit,$0.499 hourly,$0.315 hourly,$0.186 hourly,$0.683 hourly,$0.499 hourly
D3EN 12xlarge Extra Large,d3en.12xlarge,"691,476.591",Storage optimized,157.0 fps,192 GiB,48 vCPUs,335520 GB (24×13980 GB NVMe HDD),75 Gigabit,$6.3086 hourly,$3.9744 hourly,$1.189 hourly,$8.5166 hourly,$6.1824 hourly
D3EN Double Extra Large,d3en.2xlarge,"118,688.492",Storage optimized,42.0 fps,32 GiB,8 vCPUs,55920 GB (4×13980 GB NVMe HDD),Up to 25 Gigabit,$1.051 hourly,$0.662 hourly,$0.2138 hourly,$1.419 hourly,$1.03 hourly
D3EN Quadruple Extra Large,d3en.4xlarge,"250,849.229",Storage optimized,90.0 fps,64 GiB,16 vCPUs,111840 GB (8×13980 GB NVMe HDD),25 Gigabit,$2.103 hourly,$1.325 hourly,$0.5943 hourly,$2.839 hourly,$2.061 hourly
D3EN 6xlarge,d3en.6xlarge,"351,528.171",Storage optimized,127.0 fps,96 GiB,24 vCPUs,167760 GB (12×13980 GB NVMe HDD),40 Gigabit,$3.154 hourly,$1.987 hourly,$0.6281 hourly,$4.258 hourly,$3.091 hourly
D3EN Eight Extra Large,d3en.8xlarge,"481,685.901",Storage optimized,150.0 fps,128 GiB,32 vCPUs,223680 GB (16×13980 GB NVMe HDD),50 Gigabit,$4.2058 hourly,$2.6496 hourly,$0.664 hourly,$5.6778 hourly,$4.1216 hourly
D3EN Large,d3en.large,,Storage optimized,,8 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,,,,,
D3EN Extra Large,d3en.xlarge,"58,751.53",Storage optimized,20.0 fps,16 GiB,4 vCPUs,27960 GB (2×13980 GB NVMe HDD),Up to 25 Gigabit,$0.526 hourly,$0.331 hourly,$0.1719 hourly,$0.71 hourly,$0.515 hourly
DL1 24xlarge,dl1.24xlarge,"1,593,162.677",Machine Learning ASIC Instances,198.0 fps,768 GiB,96 vCPUs,4000 GB (4×1000 GB NVMe SSD),4x 100 Gigabit,$13.109 hourly,$8.2587 hourly,$13.109 hourly,,
DL2Q 24xlarge,dl2q.24xlarge,"1,295,313.484",Machine Learning ASIC Instances,179.0 fps,768 GiB,96 vCPUs,EBS only,100 Gigabit,$8.9194 hourly,$5.6192 hourly,$8.7081 hourly,,
F1 16xlarge Extra Large,f1.16xlarge,,FPGA Instances,,976 GiB,64 vCPUs,EBS only,25 Gigabit,$13.20 hourly,,$4.257 hourly,$13.20 hourly,
F1 Double Extra Large,f1.2xlarge,,FPGA Instances,,122 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$1.65 hourly,,$0.5024 hourly,$1.65 hourly,
F1 Quadruple Extra Large,f1.4xlarge,,FPGA Instances,,244 GiB,16 vCPUs,EBS only,10 Gigabit,$3.30 hourly,,$1.0321 hourly,,
F2 12xlarge Extra Large,f2.12xlarge,"951,908.775",FPGA Instances,202.0 fps,512 GiB,48 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,$3.96 hourly,,,,
F2 48xlarge,f2.48xlarge,,FPGA Instances,,2048 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,$15.84 hourly,,,,
F2 6xlarge,f2.6xlarge,"485,829.96",FPGA Instances,166.0 fps,256 GiB,24 vCPUs,940 GB NVMe SSD,12.5 Gigabit,$1.98 hourly,,$0.6736 hourly,,
G2 Double Extra Large,g2.2xlarge,,GPU instance,,15 GiB,8 vCPUs,EBS only,Moderate,$0.65 hourly,,,$0.767 hourly,
G2 Eight Extra Large,g2.8xlarge,,GPU instance,,60 GiB,32 vCPUs,EBS only,High,$2.60 hourly,,,$2.878 hourly,
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,,GPU instance,,488 GiB,64 vCPUs,EBS only,20 Gigabit,$4.56 hourly,,,$7.504 hourly,
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,,GPU instance,,122 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.14 hourly,,,$1.876 hourly,
G3 Graphics GPU Eight Extra Large,g3.8xlarge,,GPU instance,,244 GiB,32 vCPUs,EBS only,10 Gigabit,$2.28 hourly,,,$3.752 hourly,
G3S Extra Large,g3s.xlarge,,GPU instance,,30.5 GiB,4 vCPUs,EBS only,10 Gigabit,$0.75 hourly,,,$0.934 hourly,
G4AD 16xlarge Extra Large,g4ad.16xlarge,"1,251,099.599",GPU instance,175.0 fps,256 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),25 Gigabit,$3.468 hourly,$2.1848 hourly,$1.2913 hourly,$6.412 hourly,$5.1288 hourly
G4AD Double Extra Large,g4ad.2xlarge,"149,300.156",GPU instance,53.0 fps,32 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.5412 hourly,$0.3409 hourly,$0.2254 hourly,$0.9092 hourly,$0.7089 hourly
G4AD Quadruple Extra Large,g4ad.4xlarge,"301,744.46",GPU instance,100.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 10 Gigabit,$0.867 hourly,$0.5462 hourly,$0.3188 hourly,$1.603 hourly,$1.2822 hourly
G4AD Eight Extra Large,g4ad.8xlarge,"609,911.055",GPU instance,151.0 fps,128 GiB,32 vCPUs,1200 GB NVMe SSD,15 Gigabit,$1.734 hourly,$1.0924 hourly,$0.5319 hourly,$3.206 hourly,$2.5644 hourly
G4AD Extra Large,g4ad.xlarge,"74,710.497",GPU instance,28.0 fps,16 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.3785 hourly,$0.2385 hourly,$0.1494 hourly,$0.5625 hourly,$0.4225 hourly
G4DN 12xlarge Extra Large,g4dn.12xlarge,"715,776.916",GPU instance,110.0 fps,192 GiB,48 vCPUs,900 GB NVMe SSD,50 Gigabit,$3.912 hourly,$2.465 hourly,$1.3655 hourly,$6.12 hourly,$4.673 hourly
G4DN 16xlarge Extra Large,g4dn.16xlarge,"914,808.462",GPU instance,105.0 fps,256 GiB,64 vCPUs,900 GB NVMe SSD,50 Gigabit,$4.352 hourly,$2.742 hourly,$1.4742 hourly,$7.296 hourly,$5.686 hourly
G4DN Double Extra Large,g4dn.2xlarge,"116,228.389",GPU instance,105.0 fps,32 GiB,8 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$0.752 hourly,$0.474 hourly,$0.2583 hourly,$1.12 hourly,$0.842 hourly
G4DN Quadruple Extra Large,g4dn.4xlarge,"230,991.338",GPU instance,106.0 fps,64 GiB,16 vCPUs,225 GB NVMe SSD,Up to 25 Gigabit,$1.204 hourly,$0.759 hourly,$0.3742 hourly,$1.94 hourly,$1.495 hourly
G4DN Eight Extra Large,g4dn.8xlarge,"458,343.28",GPU instance,105.0 fps,128 GiB,32 vCPUs,900 GB NVMe SSD,50 Gigabit,$2.176 hourly,$1.371 hourly,$0.7975 hourly,$3.648 hourly,$2.843 hourly
G4DN Metal,g4dn.metal,"1,287,380.984",GPU instance,103.0 fps,384 GiB,96 vCPUs,1800 GB (2×900 GB NVMe SSD),100 Gigabit,$7.824 hourly,$4.929 hourly,$3.4957 hourly,$12.24 hourly,$9.345 hourly
G4DN Extra Large,g4dn.xlarge,"55,463.117",GPU instance,105.0 fps,16 GiB,4 vCPUs,125 GB NVMe SSD,Up to 25 Gigabit,$0.526 hourly,$0.331 hourly,$0.2042 hourly,$0.71 hourly,$0.515 hourly
G5 Graphics and Machine Learning GPU 12xlarge Extra Large,g5.12xlarge,"895,146.627",GPU instance,109.0 fps,192 GiB,48 vCPUs,3800 GB NVMe SSD,40 Gigabit,$5.672 hourly,$3.5734 hourly,$3.1902 hourly,$7.88 hourly,$3.5734 hourly
G5 Graphics and Machine Learning GPU 16xlarge Extra Large,g5.16xlarge,"1,246,915.184",GPU instance,113.0 fps,256 GiB,64 vCPUs,1900 GB NVMe SSD,25 Gigabit,$4.096 hourly,$2.5805 hourly,$1.4144 hourly,$7.04 hourly,$5.5245 hourly
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,"1,613,987.895",GPU instance,111.0 fps,384 GiB,96 vCPUs,3800 GB NVMe SSD,50 Gigabit,$8.144 hourly,$5.1307 hourly,$4.1633 hourly,$12.56 hourly,$9.5467 hourly
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,"144,423.884",GPU instance,114.0 fps,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$1.212 hourly,$0.7636 hourly,$0.6775 hourly,$1.58 hourly,$1.1316 hourly
G5 Graphics and Machine Learning GPU 48xlarge,g5.48xlarge,"3,614,457.831",GPU instance,110.0 fps,768 GiB,192 vCPUs,7600 GB (2×3800 GB NVMe SSD),100 Gigabit,$16.288 hourly,$10.2614 hourly,$7.2594 hourly,$25.12 hourly,$19.0934 hourly
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,"312,479.656",GPU instance,111.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.624 hourly,$1.0231 hourly,$0.4821 hourly,$2.36 hourly,$1.0231 hourly
G5 Graphics and Machine Learning GPU Eight Extra Large,g5.8xlarge,"621,902.633",GPU instance,111.0 fps,128 GiB,32 vCPUs,900 GB NVMe SSD,25 Gigabit,$2.448 hourly,$1.5422 hourly,$1.0097 hourly,$3.92 hourly,$1.5422 hourly
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,"69,633.842",GPU instance,115.0 fps,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$1.006 hourly,$0.6338 hourly,$0.7344 hourly,$1.19 hourly,$0.6338 hourly
G5G 16xlarge Extra Large,g5g.16xlarge,"1,283,422.46",GPU instance,100.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.744 hourly,$1.7287 hourly,$0.7513 hourly,,
G5G Double Extra Large,g5g.2xlarge,"157,801.302",GPU instance,99.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.556 hourly,$0.3503 hourly,$0.1572 hourly,,
G5G Quadruple Extra Large,g5g.4xlarge,"314,877.985",GPU instance,99.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.828 hourly,$0.5216 hourly,$0.2229 hourly,,
G5G Eight Extra Large,g5g.8xlarge,"622,245.268",GPU instance,100.0 fps,64 GiB,32 vCPUs,EBS only,12 Gigabit,$1.372 hourly,$0.8644 hourly,$0.2734 hourly,,
G5G Metal,g5g.metal,"1,262,202.939",GPU instance,178.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.744 hourly,$1.7287 hourly,$0.3649 hourly,,
G5G Extra Large,g5g.xlarge,"77,504.36",GPU instance,99.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.42 hourly,$0.2646 hourly,$0.1145 hourly,,
G6 Graphics and Machine Learning GPU 12xlarge Extra Large,g6.12xlarge,"1,056,861.342",GPU instance,138.0 fps,192 GiB,48 vCPUs,3760 GB (4×940 GB NVMe SSD),40 Gigabit,$4.6016 hourly,$2.9956 hourly,$1.4879 hourly,$6.8096 hourly,$5.2036 hourly
G6 Graphics and Machine Learning GPU 16xlarge Extra Large,g6.16xlarge,"1,380,872.755",GPU instance,134.0 fps,256 GiB,64 vCPUs,1880 GB (2×940 GB NVMe SSD),25 Gigabit,$3.3968 hourly,$2.2113 hourly,$1.3264 hourly,$6.3408 hourly,$5.1553 hourly
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,"1,884,200.196",GPU instance,134.0 fps,384 GiB,96 vCPUs,3760 GB (4×940 GB NVMe SSD),50 Gigabit,$6.6752 hourly,$4.3456 hourly,$2.245 hourly,$11.0912 hourly,$8.7616 hourly
G6 Graphics and Machine Learning GPU Double Extra Large,g6.2xlarge,"167,346.512",GPU instance,133.0 fps,32 GiB,8 vCPUs,450 GB NVMe SSD,Up to 10 Gigabit,$0.9776 hourly,$0.6364 hourly,$0.5742 hourly,$1.3456 hourly,$1.0044 hourly
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,"3,842,689.883",GPU instance,131.0 fps,768 GiB,192 vCPUs,7520 GB (8×940 GB NVMe SSD),100 Gigabit,$13.3504 hourly,$8.6911 hourly,$5.8072 hourly,$22.1824 hourly,$17.5231 hourly
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,"332,519.354",GPU instance,133.0 fps,64 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.3232 hourly,$0.8614 hourly,$0.4475 hourly,$2.0592 hourly,$1.5974 hourly
G6 Graphics and Machine Learning GPU Eight Extra Large,g6.8xlarge,"689,915.378",GPU instance,135.0 fps,128 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$2.0144 hourly,$1.3114 hourly,$1.0634 hourly,$3.4864 hourly,$2.7834 hourly
G6 Graphics and Machine Learning GPU Extra Large,g6.xlarge,"83,813.515",GPU instance,134.0 fps,16 GiB,4 vCPUs,250 GB NVMe SSD,Up to 10 Gigabit,$0.8048 hourly,$0.5239 hourly,$0.3418 hourly,$0.9888 hourly,$0.7079 hourly
G6e Graphics and Machine Learning GPU 12xlarge Extra Large,g6e.12xlarge,"1,061,946.903",GPU instance,143.0 fps,384 GiB,48 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$10.4926 hourly,$6.6104 hourly,$2.6235 hourly,$12.7006 hourly,$8.8184 hourly
G6e Graphics and Machine Learning GPU 16xlarge Extra Large,g6e.16xlarge,"1,347,368.421",GPU instance,129.0 fps,512 GiB,64 vCPUs,1900 GB (2×950 GB NVMe SSD),35 Gigabit,$7.5772 hourly,$4.7736 hourly,$2.3971 hourly,$10.5212 hourly,$7.7176 hourly
G6e Graphics and Machine Learning GPU 24xlarge,g6e.24xlarge,"1,793,470.646",GPU instance,144.0 fps,768 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),200 Gigabit,$15.0656 hourly,$9.4913 hourly,$2.9255 hourly,$19.4816 hourly,$13.9073 hourly
G6e Graphics and Machine Learning GPU Double Extra Large,g6e.2xlarge,"163,968.026",GPU instance,143.0 fps,64 GiB,8 vCPUs,450 GB NVMe SSD,Up to 20 Gigabit,$2.2421 hourly,$1.4125 hourly,$1.5611 hourly,$2.6101 hourly,$1.7805 hourly
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,"3,635,502.959",GPU instance,142.0 fps,1536 GiB,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,$30.1312 hourly,$18.9826 hourly,$16.2734 hourly,$38.9632 hourly,$27.8146 hourly
G6e Graphics and Machine Learning GPU Quadruple Extra Large,g6e.4xlarge,"343,366.06",GPU instance,143.0 fps,128 GiB,16 vCPUs,600 GB NVMe SSD,20 Gigabit,$3.0042 hourly,$1.8927 hourly,$1.3141 hourly,$3.7402 hourly,$2.6287 hourly
G6e Graphics and Machine Learning GPU Eight Extra Large,g6e.8xlarge,"692,715.662",GPU instance,110.0 fps,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$4.5286 hourly,$2.853 hourly,$1.4244 hourly,$6.0006 hourly,$4.325 hourly
G6e Graphics and Machine Learning GPU Extra Large,g6e.xlarge,"79,400.526",GPU instance,146.0 fps,32 GiB,4 vCPUs,250 GB NVMe SSD,Up to 20 Gigabit,$1.861 hourly,$1.1724 hourly,$0.8279 hourly,$2.045 hourly,$1.3564 hourly
G6F Double Extra Large,g6f.2xlarge,"174,083.342",GPU instance,66.0 fps,32 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.475 hourly,,$0.1284 hourly,$0.843 hourly,
G6F Quadruple Extra Large,g6f.4xlarge,"348,754.836",GPU instance,122.0 fps,64 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,$0.95 hourly,,$0.2927 hourly,$1.686 hourly,
G6F Large,g6f.large,"40,677.277",GPU instance,17.0 fps,8 GiB,2 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.202 hourly,,$0.0365 hourly,$0.294 hourly,
G6F Extra Large,g6f.xlarge,"70,975.469",GPU instance,30.0 fps,16 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.2375 hourly,,$0.0551 hourly,$0.4215 hourly,
G7E 12xlarge Extra Large,g7e.12xlarge,"1,199,200.533",GPU instance,71.0 fps,512 GiB,48 vCPUs,3800 GB NVMe SSD,400 Gigabit,$8.2861 hourly,,$2.3478 hourly,$10.4941 hourly,
G7E 24xlarge,g7e.24xlarge,"2,040,960.952",GPU instance,161.0 fps,1024 GiB,96 vCPUs,7600 GB (2×3800 GB NVMe SSD),800 Gigabit,$16.5722 hourly,,$4.7768 hourly,$20.9882 hourly,
G7E Double Extra Large,g7e.2xlarge,"219,398.482",GPU instance,118.0 fps,64 GiB,8 vCPUs,1900 GB NVMe SSD,50 Gigabit,$3.3631 hourly,,$1.3777 hourly,$3.7311 hourly,
G7E 48xlarge,g7e.48xlarge,"4,097,019.703",GPU instance,122.0 fps,2048 GiB,192 vCPUs,15200 GB (4×3800 GB NVMe SSD),1600 Gigabit,$33.1443 hourly,,$9.651 hourly,$41.9763 hourly,
G7E Quadruple Extra Large,g7e.4xlarge,"383,524.43",GPU instance,152.0 fps,128 GiB,16 vCPUs,1900 GB NVMe SSD,50 Gigabit,$3.9982 hourly,,$1.5992 hourly,$4.7342 hourly,
G7E Eight Extra Large,g7e.8xlarge,"852,916.352",GPU instance,153.0 fps,256 GiB,32 vCPUs,1900 GB NVMe SSD,100 Gigabit,$5.2682 hourly,,$1.5171 hourly,$6.7402 hourly,
Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large,gr6.4xlarge,"326,914.236",GPU instance,127.0 fps,128 GiB,16 vCPUs,600 GB NVMe SSD,Up to 25 Gigabit,$1.5392 hourly,$1.002 hourly,$0.4704 hourly,$2.2752 hourly,$1.738 hourly
Gr6 Graphics and Machine Learning GPU High RAM ratio Eight Extra Large,gr6.8xlarge,"644,316.923",GPU instance,134.0 fps,256 GiB,32 vCPUs,900 GB (2×450 GB NVMe SSD),25 Gigabit,$2.4464 hourly,$1.5926 hourly,$0.729 hourly,$3.9184 hourly,$3.0646 hourly
GR6F Quadruple Extra Large,gr6f.4xlarge,"331,434.49",GPU instance,118.0 fps,128 GiB,16 vCPUs,450 GB NVMe SSD,Up to 25 Gigabit,$1.066 hourly,,$0.3369 hourly,$1.802 hourly,
H1 16xlarge Extra Large,h1.16xlarge,"1,104,495.642",Storage optimized,211.0 fps,256 GiB,64 vCPUs,16000 GB (8×2000 GB HDD),25 Gigabit,$3.744 hourly,$2.545 hourly,$1.0782 hourly,$6.688 hourly,$5.489 hourly
H1 Double Extra Large,h1.2xlarge,"119,790.367",Storage optimized,47.0 fps,32 GiB,8 vCPUs,2000 GB HDD,Up to 10 Gigabit,$0.468 hourly,$0.318 hourly,$0.16 hourly,$0.836 hourly,$0.686 hourly
H1 Quadruple Extra Large,h1.4xlarge,"271,197.932",Storage optimized,103.0 fps,64 GiB,16 vCPUs,4000 GB (2×2000 GB HDD),Up to 10 Gigabit,$0.936 hourly,$0.636 hourly,$0.3276 hourly,$1.672 hourly,$1.372 hourly
H1 Eight Extra Large,h1.8xlarge,"559,538.381",Storage optimized,177.0 fps,128 GiB,32 vCPUs,8000 GB (4×2000 GB HDD),10 Gigabit,$1.872 hourly,$1.272 hourly,$0.6643 hourly,$3.344 hourly,$2.744 hourly
HPC6A 48xlarge,hpc6a.48xlarge,"2,704,225.352",Compute optimized,235.0 fps,384 GiB,96 vCPUs,EBS only,100 Gigabit,,,,,
HPC6ID 32xlarge,hpc6id.32xlarge,"1,644,610.048",Compute optimized,216.0 fps,1024 GiB,64 vCPUs,15200 GB (4×3800 GB NVMe SSD),200 Gigabit,,,,,
HPC7A 12xlarge Extra Large,hpc7a.12xlarge,"777,957.861",Compute optimized,180.0 fps,768 GiB,24 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 24xlarge,hpc7a.24xlarge,"1,661,187.057",Compute optimized,272.0 fps,768 GiB,48 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 48xlarge,hpc7a.48xlarge,"3,240,324.032",Compute optimized,305.0 fps,768 GiB,96 vCPUs,EBS only,300 Gigabit,,,,,
HPC7A 96xlarge,hpc7a.96xlarge,"6,797,663.303",Compute optimized,326.0 fps,768 GiB,192 vCPUs,EBS only,300 Gigabit,,,,,
HPC7G 16xlarge Extra Large,hpc7g.16xlarge,"1,576,743.04",Compute optimized,242.0 fps,128 GiB,64 vCPUs,EBS only,200 Gigabit,,,,,
HPC7G Quadruple Extra Large,hpc7g.4xlarge,"405,911.08",Compute optimized,134.0 fps,128 GiB,16 vCPUs,EBS only,200 Gigabit,,,,,
HPC7G Eight Extra Large,hpc7g.8xlarge,"819,304.871",Compute optimized,214.0 fps,128 GiB,32 vCPUs,EBS only,200 Gigabit,,,,,
HPC8A 96xlarge,hpc8a.96xlarge,,General purpose,,768 GiB,192 vCPUs,EBS only,300 Gigabit,,,,,
High Storage Eight Extra Large,hs1.8xlarge,,Storage optimized,,117 GiB,16 vCPUs,EBS only,10 Gigabit,,,,$4.60 hourly,
I2 Double Extra Large,i2.2xlarge,"127,720.717",Storage optimized,46.0 fps,61 GiB,8 vCPUs,1600 GB (2×800 GB SSD),High,$1.705 hourly,$0.848 hourly,$0.241 hourly,$1.946 hourly,$1.131 hourly
I2 Quadruple Extra Large,i2.4xlarge,"246,583.787",Storage optimized,87.0 fps,122 GiB,16 vCPUs,3200 GB (4×800 GB SSD),High,$3.41 hourly,$1.696 hourly,$0.4683 hourly,$3.891 hourly,$2.26 hourly
I2 Eight Extra Large,i2.8xlarge,"507,533.703",Storage optimized,138.0 fps,244 GiB,32 vCPUs,6400 GB (8×800 GB SSD),10 Gigabit,$6.82 hourly,$3.392 hourly,$0.8872 hourly,$7.782 hourly,$4.521 hourly
I2 Large,i2.large,,Storage optimized,,15 GiB,2 vCPUs,EBS only,Moderate,,,,,
I2 Extra Large,i2.xlarge,"64,906.089",Storage optimized,24.0 fps,30.5 GiB,4 vCPUs,800 GB SSD,Moderate,$0.853 hourly,$0.424 hourly,$0.1031 hourly,$0.973 hourly,$0.565 hourly
I3 High I/O 16xlarge Extra Large,i3.16xlarge,"853,447.126",Storage optimized,132.0 fps,488 GiB,64 vCPUs,15200 GB (8×1900 GB NVMe SSD),25 Gigabit,$4.992 hourly,$3.427 hourly,$1.5216 hourly,$7.936 hourly,$6.371 hourly
I3 High I/O Double Extra Large,i3.2xlarge,"136,083.351",Storage optimized,54.0 fps,61 GiB,8 vCPUs,1900 GB NVMe SSD,Up to 10 Gigabit,$0.624 hourly,$0.428 hourly,$0.3087 hourly,$0.992 hourly,$0.796 hourly
I3 High I/O Quadruple Extra Large,i3.4xlarge,"208,831.847",Storage optimized,64.0 fps,122 GiB,16 vCPUs,3800 GB (2×1900 GB NVMe SSD),Up to 10 Gigabit,$1.248 hourly,$0.857 hourly,$0.6108 hourly,$1.984 hourly,$1.593 hourly
