Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R6ID 24xlarge,r6id.24xlarge,,Memory optimized,,768 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),37.5 Gigabit,,,,,
R6ID Double Extra Large,r6id.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
R6ID 32xlarge,r6id.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,,,,,
R6ID Quadruple Extra Large,r6id.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
R6ID Eight Extra Large,r6id.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,,,,,
R6ID Large,r6id.large,,Memory optimized,,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
R6ID Metal,r6id.metal,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),50 Gigabit,,,,,
R6ID Extra Large,r6id.xlarge,,Memory optimized,,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 12.5 Gigabit,,,,,
R6IDN 12xlarge Extra Large,r6idn.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),75 Gigabit,,,,,
R6IDN 16xlarge Extra Large,r6idn.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,,,,,
R6IDN 24xlarge,r6idn.24xlarge,,Memory optimized,,768 GiB,96 vCPUs,5700 GB (4×1425 GB NVMe SSD),150 Gigabit,,,,,
R6IDN Double Extra Large,r6idn.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,474 GB NVMe SSD,Up to 40 Gigabit,,,,,
R6IDN 32xlarge,r6idn.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,,,,,
R6IDN Quadruple Extra Large,r6idn.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,950 GB NVMe SSD,Up to 50 Gigabit,,,,,
R6IDN Eight Extra Large,r6idn.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,1900 GB NVMe SSD,50 Gigabit,,,,,
R6IDN Large,r6idn.large,,Memory optimized,,16 GiB,2 vCPUs,118 GB NVMe SSD,Up to 25 Gigabit,,,,,
R6IDN Metal,r6idn.metal,,Memory optimized,,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,,,,,
R6IDN Extra Large,r6idn.xlarge,,Memory optimized,,32 GiB,4 vCPUs,237 GB NVMe SSD,Up to 30 Gigabit,,,,,
R6IN 12xlarge Extra Large,r6in.12xlarge,,Memory optimized,,384 GiB,48 vCPUs,EBS only,75 Gigabit,,,,,
R6IN 16xlarge Extra Large,r6in.16xlarge,,Memory optimized,,512 GiB,64 vCPUs,EBS only,100 Gigabit,,,,,
R6IN 24xlarge,r6in.24xlarge,,Memory optimized,,768 GiB,96 vCPUs,EBS only,150 Gigabit,,,,,
R6IN Double Extra Large,r6in.2xlarge,,Memory optimized,,64 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,,,,,
R6IN 32xlarge,r6in.32xlarge,,Memory optimized,,1024 GiB,128 vCPUs,EBS only,200 Gigabit,,,,,
R6IN Quadruple Extra Large,r6in.4xlarge,,Memory optimized,,128 GiB,16 vCPUs,EBS only,Up to 50 Gigabit,,,,,
R6IN Eight Extra Large,r6in.8xlarge,,Memory optimized,,256 GiB,32 vCPUs,EBS only,50 Gigabit,,,,,
R6IN Large,r6in.large,,Memory optimized,,16 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,,,,,
R6IN Metal,r6in.metal,,Memory optimized,,1024 GiB,128 vCPUs,EBS only,200 Gigabit,,,,,
R6IN Extra Large,r6in.xlarge,,Memory optimized,,32 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,,,,,
R7A 12xlarge Extra Large,r7a.12xlarge,"1,627,394.474",Memory optimized,315.0 fps,384 GiB,48 vCPUs,EBS only,18.75 Gigabit,,,,,
R7A 16xlarge Extra Large,r7a.16xlarge,"1,992,631.415",Memory optimized,309.0 fps,512 GiB,64 vCPUs,EBS only,25 Gigabit,,,,,
R7A 24xlarge,r7a.24xlarge,"2,791,373.879",Memory optimized,308.0 fps,768 GiB,96 vCPUs,EBS only,37.5 Gigabit,,,,,
R7A Double Extra Large,r7a.2xlarge,"255,699.979",Memory optimized,104.0 fps,64 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
R7A 32xlarge,r7a.32xlarge,"4,237,708.989",Memory optimized,310.0 fps,1024 GiB,128 vCPUs,EBS only,50 Gigabit,,,,,
R7A 48xlarge,r7a.48xlarge,"5,477,107.403",Memory optimized,305.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,,,,,
R7A Quadruple Extra Large,r7a.4xlarge,"513,506.285",Memory optimized,178.0 fps,128 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
R7A Eight Extra Large,r7a.8xlarge,"1,076,112.543",Memory optimized,284.0 fps,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,,,,,
R7A Large,r7a.large,"65,782.261",Memory optimized,27.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
R7A Medium,r7a.medium,"35,377.358",Memory optimized,15.0 fps,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
R7A Metal-48xl,r7a.metal-48xl,"6,200,215.285",Memory optimized,293.0 fps,1536 GiB,192 vCPUs,EBS only,50 Gigabit,,,,,
R7A Extra Large,r7a.xlarge,"136,892.539",Memory optimized,55.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,,,,,
R7G 12xlarge Extra Large,r7g.12xlarge,"1,184,600.197",Memory optimized,239.0 fps,384 GiB,48 vCPUs,EBS only,22.5 Gigabit,$2.856 hourly,$1.8892 hourly,$0.9414 hourly,,
R7G 16xlarge Extra Large,r7g.16xlarge,"1,652,572.461",Memory optimized,223.0 fps,512 GiB,64 vCPUs,EBS only,30 Gigabit,$3.808 hourly,$2.519 hourly,$0.739 hourly,,
R7G Double Extra Large,r7g.2xlarge,"196,963.48",Memory optimized,72.0 fps,64 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,$0.476 hourly,$0.3149 hourly,$0.1159 hourly,,
R7G Quadruple Extra Large,r7g.4xlarge,"411,073.287",Memory optimized,132.0 fps,128 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,$0.952 hourly,$0.6297 hourly,$0.2638 hourly,,
R7G Eight Extra Large,r7g.8xlarge,"833,767.587",Memory optimized,206.0 fps,256 GiB,32 vCPUs,EBS only,15 Gigabit,$1.904 hourly,$1.2595 hourly,$0.6318 hourly,,
R7G Large,r7g.large,"49,239.86",Memory optimized,19.0 fps,16 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.119 hourly,$0.0787 hourly,$0.0413 hourly,,
R7G Medium,r7g.medium,"26,471.367",Memory optimized,10.0 fps,8 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0595 hourly,$0.0394 hourly,$0.0194 hourly,,
R7G Metal,r7g.metal,"1,531,008.911",Memory optimized,245.0 fps,512 GiB,64 vCPUs,EBS only,30 Gigabit,$3.808 hourly,$2.519 hourly,$0.5011 hourly,,
R7G Extra Large,r7g.xlarge,"102,570.678",Memory optimized,38.0 fps,32 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.238 hourly,$0.1574 hourly,$0.0449 hourly,,
R7GD 12xlarge Extra Large,r7gd.12xlarge,"1,239,589.386",Memory optimized,239.0 fps,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),22.5 Gigabit,$3.6742 hourly,$2.3147 hourly,$0.6614 hourly,,
